25
1,3827.339214,19282827,1
2,90752.16448,12121212,2
3,1193.29472,12019182,3
4,89634.26258,57465768,1
5,39407.1532,34566756,2
6,25997.41903,44444444,3
7,93472.66673,56765654,1
8,23415.62943,43434343,2
9,6838.981223,43434354,3
10,44544.18001,36475647,1
11,52678.61429,10101010,2
12,10720.68454,19181716,3
13,37404.6753,12233445,1
14,98285.76637,12233434,2
15,41410.03255,12121213,3
16,49260.29694,99887766,1
17,23582.67969,77665567,2
18,7350.385734,76886755,3
19,91113.03154,46446466,1
20,70439.32899,34344545,2
21,61369.63864,23233434,3
22,55540.52343,12231223,1
23,60295.85638,12233445,2
24,8933.101083,99999989,3
25,9852.275042,90998766,1
